sweetness,acidity,class
7.914875729741233,3.943716381375669,1.0
7.4525618941147265,4.467765106206988,1.0
8.182251714483957,4.185717172328323,1.0
8.303042231450936,4.0833520641892695,1.0
7.948330698400099,2.0355108558902693,1.0
7.207350221054156,3.5177881053910314,1.0
6.426534515095026,2.225824196702244,1.0
6.920340470180056,2.4305162295044744,1.0
8.31080937300202,3.6817943639274033,1.0
8.768041278448422,3.822232222212243,1.0
6.500728604780816,3.0121847265232087,1.0
8.195004912066217,4.46544000085773,1.0
7.590622996035482,2.134306449213248,1.0
7.9766813360345825,4.163910876597491,1.0
8.143832973997672,4.249486926926943,1.0
8.096116065495501,2.317491842831838,1.0
7.910969986816074,2.8950576134560637,1.0
6.316677249335163,2.6017787054063843,1.0
8.450456377277535,3.2475008743539804,1.0
6.305449686836898,3.98130211500386,1.0
6.022233084218524,2.814137481597649,1.0
7.335321305880049,2.9172014366567045,1.0
6.56075708474481,3.5405009019184126,1.0
6.113215820592401,3.426134825394045,1.0
6.867224557092489,3.5757719951810474,1.0
6.56737671307226,2.166088766798918,1.0
8.183908277748099,2.851682320593628,1.0
7.160930147209847,3.9214563677793093,1.0
7.6629929733169995,3.139660873682235,1.0
6.301130632175278,4.4157086597763175,1.0
6.214290787914149,2.8457847716082205,1.0
7.1499202072797345,3.612510331009996,1.0
8.439243395487265,2.4990163602442133,1.0
6.249897019039846,2.418123492155409,1.0
7.632175445152564,2.4434968280048057,1.0
6.658120513751909,2.8421086214658473,1.0
7.599411103673363,3.846803459585214,1.0
8.446972676167494,3.1738506930848915,1.0
6.2587244675405955,3.07468721890777,1.0
6.45619249632644,4.0813321055040825,1.0
6.247784568923853,4.331604688946724,1.0
8.403616825960645,3.951662783787107,1.0
6.461807933523638,2.61414938221142,1.0
6.375692258504656,2.4486396926631704,1.0
8.052565713286615,2.808067873781275,1.0
6.081913352559781,4.073950660858337,1.0
7.279988616419921,3.0456780774802468,1.0
7.498089073952766,3.1964194207235206,1.0
8.664004854172227,2.269681377043888,1.0
8.377175240433038,3.141614625943528,1.0
8.140246760999252,3.636282906778127,1.0
7.103450863757984,4.316030980919752,1.0
8.573233615255926,2.6609987017641057,1.0
7.573530664178671,3.83050405824374,1.0
8.831577504658306,2.65447719426491,1.0
7.714238729252294,4.478865561904094,1.0
6.817084609319434,2.006047831035035,1.0
8.112052678035072,3.0337072320431657,1.0
7.815054190857575,2.705886994571964,1.0
6.035555346727871,3.270216739474553,1.0
6.92429830016013,4.245779263953923,1.0
7.781302474834751,3.9113353447392614,1.0
7.942858538399964,2.197894667651994,1.0
8.810760424355678,3.4693851422595063,1.0
7.474034942400924,3.9955268090667375,1.0
6.19363224315818,3.8903413052906908,1.0
6.923244103427247,4.220051911071961,1.0
8.8454362346666,3.2796997506943466,1.0
6.51556542417332,2.86905898613463,1.0
7.4412788332062805,3.4598085829289125,1.0
6.5502113031527625,2.391086666102243,1.0
8.114463736075571,2.607601099420749,1.0
8.70015580897836,3.6283986574389218,1.0
7.1459568785177865,3.41746309340762,1.0
7.692547634362576,3.465132932722041,1.0
7.931768012124733,2.6770920034714267,1.0
6.075481238999108,3.7542219548042635,1.0
8.52194078340129,4.143685257107037,1.0
